,Questions,Correct,A,B,C,D
412,"What is the name of the organization that promotes a return to Israel?
",The Jewish Agency,The Gush Etzion,The Vaad Harabbonim,The Karaite,The Jewish Agency
413,"What kind of museum is the Batey Haosef Museum in Tel Aviv?
",military,jewelry,performance art,modern art,military
414,"Which part of Israel is famous fro producing wine?
",Golan Heights,The Negev,Lod,Golan Heights,Eilat
415,"Who is given credit  for reviving the Hebrew language?
",Eliezer Ben Yehuda,Eliezer Ben Yehuda,Hannah Senesh,Joseph Trumpeldor,David Ben Gurion
416,"What poem written by Chaim Nachman Bialik inspired many people to immigrate to Israel?
",The City of the Killings,The New Colossus,Rabbi BenEzra,Babi Yar,The City of the Killings
417,"Arthur Loomis Harmon, who helped design the Empire State Building, designed what building in Jerusalem?
",The YMCA,The King David Hotel,The Kinnesset,The YMCA,The Water Clock Tower Hotel
418,"Hannukah (or Channukah) is the Jewish equivalent of Christmas.
",False,False,True,,
419,"Where in Israel was the Mishna written?
",The Galilee,The Galilee,Qumran,Jerusalem,The Negev
420,"Who wrote Psalm 23?
",David,Moses,David,Solomon,Ethan
421,"How many books is the Book of Psalms divided into?
",Five,Four,Five,Two,Three
422,"What are Psalms 120 to 134 referred to as?
",Psalms of Ascent,Psalms of David,Psalms of God,Psalms of Ascent,Hymns
423,"Who was the earliest author of a psalm?
",Moses,David,Moses,Ezra,Asaph
424,"In Psalm 23, the Lord is referred to as what?
",My Shepherd,My Provider,My Shepherd,My God,My Hope
425,"The following lines are from which psalm? 
",,"r You formed my inward parts; You wove me in my mothers womb. I will give thanks to You, for I am fearfully and wonderfully made.",Psalm 139,Psalm 23,Psalm 139
426," You formed my inward parts; You wove me in my mothers womb. I will give thanks to You, for I am fearfully and wonderfully made.
",Psalm 139,Psalm 23,Psalm 139,Psalm 150,Psalm 119
427,"The Book of Psalms is classified as what type of book in the Bible?
",Poetic,Poetic,Historical,Apocalyptic,Prophetic
428,"During her testimony at her trial, Joan of Arc stated she preferred which of the following to the sword?
",Banner,Knitting,Praying,Banner,Bible
429,"Where was Joan of Arc captured by Burgundian forces?
",Compiegne,Reims,Orleans,Compiegne,Paris
430,"What was Joan of Arc accused of at her trial?
",Heresy,Murder,Perjury,Heresy,High treason
431,"To what kind of capital punishment was Joan of Arc condemned?
",Burning at the stake,Hanging,Drowning,Burning at the stake,Beheading
432,"What extremely brave attempt to escape did Joan of Arc make while she was imprisoned in Rouen?
",She jumped from the tower where she was held prisoner.,All of these,She jumped from the tower where she was held prisoner.,She knocked a guard unconscious and tried to put on his armor and escape.,She pretended she was very sick and then tried to run away.
433,"Joan of Arc lived during the first half of what century?
",15th century,15th century,11th century,17th century,13th century
434,"What is the name of the famous sci-fi author that created Scientology?
",L. Ron Hubbard,Isaac Asimov,L. Ron Hubbard,Robert A. Heinlein,Arthur C. Clarke
435,"What is the name of the book, that states points of the scientologic doctrine for the first time?
",Dianetics: The Modern Science of Mental Health,The Study of Scientology,The Scientology Bible,Final Blackout,Dianetics: The Modern Science of Mental Health
436,"What is the name of the evil alien dictator who, according to Scientologists, placed millions of people on earth and killed them, using hydrogen bombs?
",Xenu,Space Hitler,Domo,Xenu,Terl
437,"Which of these celebrities is not a scientologist?
",Jack Nicholson,Jack Nicholson,John Travolta,Juliette Lewis,Tom Cruise
438,"What is the term that scientologists use to describe traumatic recordings that cause mental and psychosomatic physical problems?
",engrams,engrams,scientogs,hate particles,dianetics
439,"What do the eight corners of the Scientology cross symbolize?
",the eight dynamics of life,the eight dynamics of life,the eight planets orbiting the Sun,the eight messiahs of Scientology,the arms of the evil intergalactic emperor
440,"Which of these countries does not recognize Scientology as an official religion?
",Germany,Zimbabwe,Tanzania,Germany,Spain
441,"What is the literal meaning of the word scientology?
",The Study of Knowledge,The Study of the Self,The Study of Hubbard,The Study of the Universe,The Study of Knowledge
442,"In the 1970s, members of The Church of Scientology committed infiltration of United States federal agencies in order to eliminate unfavorable reports on Scientology. What was the code name for the operation?
",Operation Snow White,Operation Snow White,Operation Massacre,Operation  Scientology,Operation Dumbo Drop
443,"What is the term scientologists use to describe an immortal spiritual being?
",a thetan,a thetan,a hubbard,a cleared one,a ghost
444,"What is Rosh Chodesh?
",Celebration of the new month,Celebration of the new month,The first book of the Talmud,A fast day  that occurs a day after Rosh Hashanah,The first book of the Torah
445,"What is Yom Sheni shel Galuyot?
",The extra day of observance of  some holidays in the Diaspora,The extra day of observance of  some holidays in the Diaspora,The special prayer shawl worn by men every day,The last day of Passover,The second Torah read in synagogues on Saturday
446,"What is Yichuss?
",Special honor you get from family members,Special honor you get from family members,The special prayer shawl worn by women,A fast day celebrated on the day before Passover,The first book of the Kabbalah
447,"What does Yom Yerusalyim celebrate?
",The unification of the City of Jerusalem after the Six Days War,The building of the Second Temple in Jerusalem,The peace treaty between Egypt and Israel at Camp David,The building of the First Temple by Solomon,The unification of the City of Jerusalem after the Six Days War
448,"What do we call the  first written book of the Kabbalah?
",Zohar,Zohar,Beraishees,Devarim,Shimote
449,"What are the two major pronunciations of Hebrew?
",Ashkenazi and Sephardeet,Giladi and Sawpharteet,Zechut and Akivat,Germaneet and Yemanee,Ashkenazi and Sephardeet
450,"What are Dam, Tzefardea, Kinim?
",The first three plagues G-D put upon the Egyptians,The names of the three major holidays Jews celebrate in September and October,The first three plagues G-D put upon the Egyptians,The three books of the Torah,The national anthem of Israel
451,"What do we call the language spoken by Jews in Spain and Portugal, which consisted of mainly Spanish and Hebrew  words written in Hebrew letters?
",Ladino,Yiddish,Esperanto,Ladino,Esperanza
452,"The Hebrew term for the Old Testament is Tanach. How many books are in the Tanach?
",24,26,65,39,24
453,"What does Aygel Hah Zahav refer to?
",The golden calf built by Aaron.,The Book of Psalms.,Special prayers said at bedtime and and sunrise.,The red heifer,The golden calf built by Aaron.
454,"Which Hebrew term means genius?
",gaon,Chassid,mitganaiyim,Chabad,gaon
455,"Who is considered the first Chassidic Rabbi?
",the Baal Shem Tov,the Baal Shem Tov,Rabbi Akiba,Rabbi Hillel,Rabbi Shammai
456,"The esoteric tradition known as Tantra originated in Tibet and is unique to Tibetan Buddhism.
",False,False,True,,
457,"Which of the following is not one of the four main forms of Tibetan Buddhism?
",Chan,Gelug,Chan,Nying,Sakya
458,"What is the title of the leader of the Kagyu, one of the four major schools of Tibetan Buddhism?
",Karmapa,Chogyum Trungpa,Karmapa,Pachen Lama,Dalai Lama
459,"What is the name of the Tibetan King who is said to have brought and solidified Buddhism in Tibet?
",Songtsen Gampo,Marpa,Songtsen Gampo,Tilopa,Genghis Khan
460,"Which word refers to a Tibetan Buddhist lama or other religious figure, who has consciously decided to be reborn, in order to continue his/her religious pursuits?
",Tulku,Terma,Tulku,Lama,Terton
461,"Who was the founder of the first Tibetan Buddhist Dharma center in the West?
",Chogyam Trungpa,Chogyam Trungpa,Dalai Lama,Thich Nhat Hanh,Pema Chodren
462,"Who is the second highest lama in the Gelugpa lineage of Tibetan Buddhism?
",Panchen Lama,Panchen Lama,Khenpo Gangshar Rinpoche,Dalai Lama,Karmapa
463,"What year did the XIVth Dalai Lama escape Tibet?
",1959,1989,1959,1960,1949
464,"The Potala is traditionally the summer palace of the Dalai Lama in Tibet.
",False,True,False,,
465,"Padmasambhava, a widely revered Indian Buddhist master who founded the Tantric school of Buddhism in the 8th century, is known by what other name?
",Guru Rinpoche,Shakyapa Rinpoche,Lama Zopa Rinpoche,Totally Awesome Indian Dude,Guru Rinpoche
466,"The Dalai Lama and the Karmapa are believed to be emanations of what deity?
",Chenrenzig,Palden Lhamo,Tara,Chenrenzig,Dorje Shug-dun
467,"The Holy Grail is sometimes associated with which magical object in Celtic mythology?
",The cauldron of Bran,The spear of Lug,The boat of Lyr,The cauldron of Bran,The stone of Fál
468,"Who wrote Joseph dArimathie, the first literary work to link the Holy Grail with the Last Supper of Jesus and Joseph of Arimathea?
",Robert de Boron,Geoffrey of Monmouth,Chrétien de Troyes,Thomas Malory,Robert de Boron
469,"In Arthurian legend Percival first saw the Holy Grail in the castle of the Fisher King, who was badly wounded in this part of the body.
",in the groin,in the shoulder,in the groin,in the neck,in the arm
470,"Percival was the first knight in Arthurian legend to see the Holy Grail in the castle of the Fisher King. He could not heal the King’s wound, though. Why?
",He did not ask the right question.,He did not ask the right question.,He was not well-intentioned.,He was not the chosen one.,He was cursed by The Green Knight.
471,"Three Knights of the Round Table get to see the Holy Grail. First Percival, then Bors and next who of the following?
",Galahad,Mordred,Gawain,Lancelot,Galahad
472,"The book ‘Holy Blood, Holy Grail’ by Michael Baigent, Richard Leigh, and Henry Lincoln proposes the hypothesis that Jesus and Mary Magdalene were actually married and upon Jesus’ death she fled to France, carrying his child.
",True,True,False,,
473,"In the mystery novel The Da Vinci Code by Dan Brown the secrets of the Holy Grail are kept by this secret society.
",The priory of Sion,The order of the Phoenix,The priory of Sion,The Illuminati,The order of the Dragon
474,"In the 1991 movie The Fisher King, Robin Williams’ character is obsessed with the legend of the Fisher King and tries to get the Holy Grail. He believes that this object is actually the Grail.
",а sport trophy,а silver cauldron,а crystal champagne glass,а sport trophy,а crystal plate
475,"The Holy Grail was a popular theme in many literary works from the 19th century such as the Arthurian cycle The Idylls of the King. Who was its author?
","Alfred, Lord Tennyson",Dante Gabriel Rossetti,Jane Austin,Walter Scott,"Alfred, Lord Tennyson"
476,"The Holy Grail is usually presented as a large beautiful cup or dish. But medieval author Wolfram von Eschenbach claimed in his poem Perzival that the Grail was actually a crown given by God.
",False,True,False,,
477,"The search for The Holy Grail is one of the central themes in the opera Persifal by this German composer.
",Richard Wagner,Richard Wagner,Karl Maria von Webber,Robert Schumann,Franz Fischer
478,"At Christmas, Christians celebrates the Nativity or birth of Jesus Christ in which city?
",Bethlehem,None of these,Bethlehem,Nazareth,Jerusalem
479,"Which Christian saint, regarded as the first martyr of Christianity, is commemorated on December 27 or 26?
",Saint Stephen,Saint Matthew,Saint Andrew,Saint Paul,Saint Stephen
480,"On September 8 or September 21, Eastern Orthodox Christians celebrate the birth of this important biblical figure to parents Joachim and Anna.
",Virgin Mary,King Solomon,John the Baptist,Virgin Mary,King David
481,"Which event is regarded as the greatest feast in the Christian calendar?
",Resurrection of Jesus,Resurrection of Jesus,Ascension of Christ,Epiphany,Nativity of Christ
482,"He is considered to be the first Jew  to set foot on land that would become part of the USA.
",Joachim Gaunse,Asser Lev,Joachim Gaunse,Luis de Torres,Solomon Franco
483,"In 1649 he was warned out of trying to settle in Boston.
",Solomon Franco,Joachim Gaunse,Solomon Franco,Asser Lev,Luis de Torres
484,"In 1656 the first Jewish cemetery in the USA was founded in this city.
","New  York City, NY","Philadelphia, PA","Newport , RI","New  York City, NY","Charleston, SC"
485,"He is considered the first Jew on American land to get the right  to serve in a militia.
",Asser Levy,Asser Lev,Solomon Franco,Myer Myers,Asser Levy
486,"In 1665, Abraham de Lucena was arrested and fined for selling goods at retail prices.
",True,False,True,,
487,"The funds to build the first Lutheran church were advanced by a Jew.
",True,True,False,,
488,"The British Plantation Act gave Jews the right to become naturalized citizens with rights to trade within the colonies. In what year was it enacted?
",1740,1740,1763,1699,1749
489,"This was the first colony to give Jews full political rights.
",New York,Pennsylvania,Rhode Island,New York,South Carolina
490,"This offered Jews full equality in all future US territories and states.
",The Northwest Territory Act,The Northwest Territory Act,The Future Farm and Territory Act,The Stamp Act,The Homestead Act
491,"He was the first Jew to serve in a state legislature.
",Dr. Levi Myers,Jonas Phillips,Dr. Levi Myers,Myer Myers,Asser Levy
492,"This famous pirate, who was a marrano, played a significant role in American history.
",Jean Lafitte,Jean Lafitte,Alexander Hamilton,Lafayette,John Jay
493,"He was the first Jewish Commodore in the US Navy. He ended the practice of flogging which used to be an accepted form of punishment in the US Navy.
",Uriah Phillip Levy,Uriah Phillip Levy,Abraham Moise Silver,Myer Myers,Asser Lev
494,"The Bnai Brit , a well known social welfare organization, was formed to help people who suffered in this American tragedy.
",The great Chicago fire.,The sinking of the Chalmers,The Civil War,The San Francisco earthquake,The great Chicago fire.
495,"Morris Raphall, a Rabbi from New York City, was the first to open a session of Congress with a prayer. In what year did he do this?
",1860,1843,1819,1860,1825
496,"The  first Yiddish play was produced in New York in this year.
",1882,1902,1894,1882,1897
497,"He was the first American-born Rabbi to lead a Chassidic group.
",Rabbi Levi Yitzach Halevi Horowitz,Rabbi Abba Hillel Silver,Rabbi Chaim Nathan Silver,Rabbi Jacob ben Yakov Halevy,Rabbi Levi Yitzach Halevi Horowitz
498,"Which of the following may save sinners according to the King James version of the Bible?
",personal relationship with God through His Son Jesus Christ,membership in a certain religion,personal relationship with God through His Son Jesus Christ,good works like almsgiving and fasting,baptism
499,"What is the punishment for human sins as it is written according to the Bible?
",second or spiritual death,excommunication from the religion,longer life,physical death,second or spiritual death
500,"According to the Bible, is there anything that humans can do to be saved from Hell, the bottomless pit where worms dieth not?
",Yes,Yes,No,,
501,"At Nazareth, this Biblical figure grew and waxed in spirit. His name means the anointed one.
",Jesus Christ,Isaac,Jesus Christ,Paul,Moses
502,"According to the Bible, people are reconciled with God because of His Sons death at the cross in Mount Golgotha.
",True,False,True,,
503,"According to the Bible, Jesus turned water to wine in this wedding feast that He had attended in Cana. Which of His miracles was this?
",first miracle,last miracle,second miracle,least miracle,first miracle
504,"According to the Bible, who should believers use as mediator between them and God when they pray?
",Jesus Christ,Mary,Joseph,Jesus Christ,"John, the Baptist"
505,"Which epistle states that there is one mediator between God and men?
",Timothy,Ephesians,Philemon,Romans,Timothy
506,"According to the King James Version of the Bible, what did God command people to do always, day and night?
",praying,rejoicing,drinking wine,sinning,praying
507,"In the Bible, are there any verses that strictly mention “trinity” as a term?
",No,Yes,No,,
508,"What three things does the religious concept of the Trimurti represent?
","Creator, Protector, and Destructor","Father, Grandfather, and Son","Heaven, Earth and Hell","Father, Mother, and Child","Creator, Protector, and Destructor"
509,"Biology divides cellular life forms into three basic life domains. What are they?
","Archaea, Bacteria, and Eucaryota","Endoderm, Mesoderm, and Exoterm","Archaea, Glycosis, and Endoderm","Archaea, Bacteria, and Eucaryota","Archaea, Mesoder, and Exoterm"
510,"Is Nona the goddess of death in the Roman myth of the triple spinning fate goddesses?
",No,Yes,No,,
511,"In biology, is the Great Apes family a species trinity comprising of chimpanzees, gorillas, and orangutans?
",No,Yes,No,,
512,"Which one of these three basic chemical compounds can turn the blue litmus into red?
",Acid,Salt,Base,None of them,Acid
513,"St. Nicholas the Wonderworker is the patron saint of which of the following?
",All of these,Merchants,All of these,Archers,Sailors
514,"St. Nicholas is revered by both Orthodox and Catholic Christians.
",True,True,False,,
515,"Saint Nicholas is one of the sources of the holiday figure of Santa Claus.
",True,True,False,,
516,"Where was the historical Saint Nicholas born?
",Asia Minor,Asia Minor,Cartagena,His birthplace is unknown.,Rome
517,"St. Nicholas is believed to have made a pilgrimage to the Holy Land.
",True,False,True,,
518,"Saint Nicholas was released from prison in 313, after this emperor issued the Edict of Milan, extending official tolerance to Christianity.
",Constantine the Great,Octavian,Marcus Aurelius,Constantine the Great,Diocletian
519,"Saint Nicholas died on 6 December.
",True,False,True,,
520,"The splendid Basilica di San Nicola (Basilica of Saint Nicholas) is in Rome.
",False,True,False,,
521,"The historical Saint Nocholas was a Greek Bishop of what ancient town?
",Myra,Myra,Beit Jala,Patara,Paternopoli
522,"According to legend Saint Nicholas provided dowries to three young women who could not afford to marry.
",True,True,False,,
523,"Saint Brigitta was a Swedish nun and founder of the Bridgettine Order.
",True,False,True,,
524,"Nicknamed Black Angel, he was a prominent commander in the Chechen separatist movement against Russia.
",Ruslan Gelayev,Magomed Khanbiyev,Ruslan Gelayev,Mukhtar Suleimanov,Abdulkhalik Kurbanov
525,"His name means King of Kings and he ruled the Malian Empire for over twenty years.
",Mansa Musa,Mansa Musa,Mustapha Kartali,Malcolm X,Margery Kempe
526,"What statement is true about Saint Godric of Finchale?
",Both of these,He was never formally canonized.,He was an English hermit.,None of these,Both of these
527,"He was an African-American Muslim minister and an advocate for the rights of African Americans.
",Malcolm X,Lamen Kebe,Malcolm X,Sali-Bul Ali,Abdul Rahman Ibrahim Sori
528,"James, one of the Twelve Apostles of Jesus, was known by which of these names?
",All of these,All of these,"James, son of Alphaeus",James the Greater,James the Less
529,"Junichiro Koizumi is a politician who served as Prime Minister of Japan.
",True,False,True,,
530,"He was a Supreme Pontiff of the Roman Catholic Church and Sovereign of Vatican City from 1978 until his death in 2005.
",Pope John Paul II,John Paul I,Pope John Paul II,Benedict XVI,Paul VI
531,"Margery Kempe was an English religious mystic whose autobiography is one of the earliest in English literature.
",True,True,False,,
532,"This Spanish knight founded the Society of Jesus in 1534.
",Ignatius of Loyola,Martin Luther,Ignatius of Loyola,Pope Paul V,John Calvin
533,"He wrote the third Gospel and the Acts of the Apostles.
",Luke the Evangelist,Luke the Evangelist,John the Evangelist,Matthew the Evangelist,Mark the Evangelist
534,"He was a Christian saint from Egypt and a prominent leader among the Desert Fathers.
",Anthony the Great,Saint Menas,Anthony the Great,Saint Varus,Saint Rais
535,"What statement is true about Ignatius Loyola, a Spanish knight from a Basque noble family?
",All of these,He was the founder of the Jesuit Order.,He was canonized by Pope Gregory Ksaverity.,He was a religious leader during the Counter-Reformation.,All of these
536,"St Anicetus was the first Roman Bishop to forbid Montanism.
",True,False,True,,
537,"Leo IX launched a dispute regarding celibacy of the clergy.
",True,False,True,,
538,"Mary Faustina Kowalska was a Russian nun and mystic, venerated by the Roman Catholic Church as a saint.
",False,True,False,,
539,"According to Christian tradition, this saint attached a silver hand to the icon of Theotokos, which has since then been known as Three-handed?
",John of Damascus,Ignatius of Antioch,Cosmas of Maiuma,John of Damascus,Abraham the Writer
540,"Vladimir the Great converted to Christianity and baptised all of Kievan Rus.
",True,False,True,,
541,"Saint Stephen is often depicted with a crown for martyrdom.
",True,True,False,,
542,"Saint Helena was Roman empress and the mother of Emperor Constantine the Great.
",True,False,True,,
543,"What is the earliest identified Christian house church?
",Dura-Europos church,Dura-Europos church,Monastery of Saint Anthony,Megiddo church,Saint-Pierre-aux-Nonnains basilica
544,"Megiddo church, one of the oldest church buildings discovered by archaeologists, is located in Israel.
",True,True,False,,
545,"This Coptic Orthodox monastery is located in an oasis in the Eastern Desert of Egypt.
",St. Anthony Monastery,St. George Monastery,St. Anthony Monastery,St. Bishoy Monastery,St. Mina Monastery
546,"Which statement is true about Saint-Pierre-aux-Nonnains basilica in Metz, France?
",All of these,It was built in 380 AD.,It was originally built to be part of a Roman spa complex.,It is one of the oldest churches in Europe.,All of these
547,"The Church of Our Lady Mary of Zion is an Ethiopian Orthodox Church.
",True,False,True,,
548,"What is the oldest cathedral in Germany?
",Cathedral of Trier,Hildesheim Cathedral,Cathedral of Trier,Regensburg Cathedral,Aachen Cathedral
549,"The Church of Saint Simeon Stylites is located in Syria.
",True,True,False,,
550,"Which of these churches was designed by Isidore of Miletus and Anthemius of Tralles, who were professors of geometry at the University of Constantinople?
",Hagia Sophia,Saint Catherine’s Monastery,None of these,The Church of Our Lady Mary of Zion,Hagia Sophia
551,"Which monastery lies at the foot of Mount Sinai, where, according to the Hebrew Bible, Moses received the Ten Commandments from God?
",Saint Catherine’s Monastery,St. Anthony Monastery,St. Simeon Monastery,St. Paul Monastery,Saint Catherine’s Monastery
552,"What church was built over the cave that tradition marks as the birthplace of Jesus of Nazareth?
","Church of the Nativity, Bethlehem","Church of the Nativity, Raleigh",All of these,"Church of the Nativity, Bethlehem","Church of the Nativity, Arbanassi"
553,"Emanuel Swedenborg is a Dutch scientist, philosopher, mystic and theologian.
",False,True,False,,
554,"What did Emanuel Swedenborg claim?
",all of these,all of these,that the presence of the spiritual sense makes the Word Divine,that the Second Coming of Jesus Christ had occurred,that the Last Judgement had already occurred
555,"Emanuel Swedenborg claimed that he could talk with angels, demons and other spirits.
",True,False,True,,
556,"What prominent Swedish author called Emanuel Swedenborg nothing but a fool?
",Johan Henrik Kellgren,Carl Jung,August Strindberg,Honoré de Balzac,Johan Henrik Kellgren
557,"In 1710, Emanuel Swedenborg made a grand tour through the Netherlands, France, and Germany.
",True,True,False,,
558,"Emanuel Swedenborg lived in the 19th century.
",False,False,True,,
559,"Emanuel Swedenborg supported the Christian doctrine of the Trinity.
",False,False,True,,
560,"Which of these is a work by Emanuel Swedenborg?
",All of these,Heaven and Hell,All of these,The Last Judgment,Arcana Coelestia
561,"What happened in April 1745, when Emanuel Swedenborg was having dinner in a private room at a London tavern.
",All of these,Darkness fell upon his eyes.,He hurried home.,All of these,"He saw a man sitting in the corner, who told him: Do not eat too much!"
562,"How many saints are recognized in Judaism ?
",0,613,3,4,0
563,"The first five books of the Old Testament are referred to as what?
",The Torah,The Torah,The Sacred Writings of Abraham,The Code,The Bible
564,"In Judaism, who is considered to be the first Jew ?
",Abraham,Abraham,Moses,Noah,Adam
565,"Why is the city of Hebron so important to Judaism ?
","It is believed that Abraham, Sarah, Issac, Rebekkah, Leah and Jacob are buried there",It is where the first Capital of Israel stood,"It is believed that Abraham, Sarah, Issac, Rebekkah, Leah and Jacob are buried there",It was a stop on the way out of Egypt,It is where Jeremiah was born
566,"In the context of Judaism, who was Abrahams wife ?
",Sarah,Leah,Rachel,Sarah,Rebekkah
567,"How many laws are in the first five books of the Old Testament?
",613,2150,1000,613,100
568,"Why will Jews not eat pork?
",Pigs do not chew their cud and they do not have cloven hoofs,Pigs are symbols of evil,Pigs cause disease if not properly cooked,Pigs do not chew their cud and they do not have cloven hoofs,Pigs are dirty
569,"In Judaism, what do we call food that is permissible to be eaten?
",Kosher,Parve,Kosher,Fleisch,Gribnitz
570,"According to Judaism, what work is permissible on Sunday?
",Any work,Only transportation to synagogue,Charity,None,Any work
571,"What does the word Rabbi mean?
",My teacher,My overseer,MY priest,My leader,My teacher
572,"The witch hunts started as a result of the superstitions of some Catholic Monks. This Dominican monk is considered to be the initiator of the witch hunts as he prepared a detailed manual of deviltry for the Church.  It did not take long before women in Southern France were sent to the stake, condemned for cohabitation with the devil.
",Thomas Aquinas,Thomas Aquinas,John XXII,Gregory,Hugo de Boniols
573,"The first woman accused of witchcraft was burned around 1275. This was the reason for her condemnation.
",Having intercourse with the devil,Bringing misfortune,Participating in witch ring-dance rituals,Healing a child with magical water,Having intercourse with the devil
574,"Many of witchcraft confessions were extorted by means of torture, called ordeal. This method of torture was not used during the process of the ordeal.
",The sound of trickling water,The Iron Maiden,The Thumbscrew,The sound of trickling water,Hot pincers
575,"Burning women who were supposedly witches was a common practice on the European continent. In England, however, they punished witches in this way.
",Hanged them,Starved them to death,Hanged them,Buried them alive,Stabbed them with a silver lance
576,"Most of the victims of the witch hunts were women. However, there were some men also burned, accused of being witches. This is why.
",They tried to protect women accused of witchcraft,They were more intelligent than other people,They collected herbs,They tried to protect women accused of witchcraft,They often went out for a walk during full moon
577,"As the witch hunts expanded, any woman could be tried as a witch, but in the beginning these were the most common victims of the Holy Inquisition.
","Old, lonely women",Educated women,Beautiful young girls,"Old, lonely women",Women of middle age who gave birth to twins
578,"It was a common conception that the number of people involved in the witchcraft activities could be boundless. For example, in 1609 the witch hunting French official Pierre de Lancre stated that all 30,000 dwellers of the French region Labourd were witches, including  these people.
",Priests,Physicians,Young girls,Priests,Teachers
579,"The famous Salem Witch trial started with an incident in January, 1692. A Caribbean-born slave was accused of initiating the witch phenomenon. Twenty more people were killed as no one of them confessed to being a witch. What was the reason that triggered the Salem witch craze?
","Eight little girls from the town got ill with strange symptoms such as convulsions, incomprehensible speech, and trance-like states",Several babies in the town were born dead,There were innumerable storms over the town destroyed the crops,A severe drought made the local river dry up,"Eight little girls from the town got ill with strange symptoms such as convulsions, incomprehensible speech, and trance-like states"
580,"This was a common torture method used in Scotland, which made the accused witch confess her deeds. The method caused hallucinations and made it easy for the inquisitors to extort confessions to flying, turning into animals, meeting the devil and taking part in witches’ Sabbaths.
",Sleep deprivation,Whipping,The Iron Maiden,Sleep deprivation,Overheating
581,"Witch hunts still exist today. In 1981 a woman was killed by the mob, throwing stones at her as they believed she was a witch. This was the reason for stoning her to death.
",Her sorcery incited the attack upon Pope John Paul II,Her sorcery incited the attack upon Pope John Paul II,Her spells were the reason for the ozone hole,Her magic killed the child of a neighbour,Her sorcery caused a tsunami in Mexico
582,"According to the Old Testament, the prophet Hosea was instructed by God to marry a prostitute.
",True,False,True,,
583,"Psalm 119 is the longest psalm in the Bible. How many verses does it contain?
",176,176,150,200,138
584,"According to the Old Testament, Moses was 105 years old when he died.
",False,True,False,,
585,"It is stated in the Old Testament that Jeremiah, Hosea, Jonah, and Job were prophets.
",False,False,True,,
586,"According to The Old Testament, the prophet Jonah was sent to which city to warn its inhabitants of the coming judgment on them?
",Ninevah,Ninevah,Joppa,Ai,Tarshish
587,"The prophet Haggai is mentioned in the book of Ezra.
",True,True,False,,
588,"According to the Book of Genesis, what did G-D  create last, on the sixth day, as almost an afterthought?
",Adam,Eve,Adam,The fishes of the waters,The birds of prey
589,"What was the name of Abrahams first wife?
",Sarah,Sarah,Haggar,Haggai,Ruth
590,"Who was Issacs wife according to Genesis?
",Rebecca,Leah,Rebecca,Rachel,Ruth
591,"Judaism has three  Patriarchs -Abraham, Issac, and Jacob. Who are the four Matriarchs?
","Sarah, Rebecca, Leah, Rachel","Sarah, Rebecca, Ruth, Naomi","Sarah , Rebecca , Rachel, Ruth","Sarah, Rebecca, Leah, Rachel","Sarah , Rebecca , Leah, Ruth"
592,"Which of these is not one of Jacobs twelve sons?
",Ephraim,Naphtali,Gad,Ephraim,Zebulon
593,"What is the name of Jacobs only daughter according to Genesis?
",Dina,Dina,Leah,Laban,Mileah
594,"The  Book of Genesis contains the first Biblical reference to someone being put into prison. Who was  put into prison?
",Joseph,Cain,Potiphar,Judah,Joseph
595,"Who was the third son of Adam and Eve, sometimes described as the quiet one?
",Seth,Seth,Eli,Abel,Nahor
596,"The Hebrew people lived in the first ghetto when they were in Egypt. Where was this place?
",Goshen,Cannan,Barnes-Kaddesh,Nubia,Goshen
597,"According to the genealogy of Jesus, who was the father of Jesse?
",Obed,David,Obed,Boaz,Samson
598,"In which of the following lands did Job live when he was first mentioned in the book of Job?
",Uz,Judea,Uz,Galilee,Nazareth
599,"Who was king of Judaea during the birth of Jesus?
",King Herod,King David,King Solomon,King Herod,King Darius
600,"According to the Bible, how old was Joseph when he was put in charge of the whole land of Egypt, as Pharaoh had ordered.
",30 years old,40 years old,30 years old,22 years old,35 years old
601,"According to the Bible after Sarahs death, Abraham married another woman. What was her name?
",Keturah,Keturah,Jessica,Naomi,Sheba
602,"From what tribe of Israel was Samson according to the Bible?
",Dan,Benjamin,Gad,Dan,Levi
603,"This Biblical character is Jacobs father-in-law as well as father of Rachel and Leah.
",Laban,Laban,Terah,Noah,Aram-balam
604,"Which is the sixth book of the New Testament?
",Romans,Mark,Romans,Galatians,Luke
605,"According to the Bible, when Naomi told her two daughters-in-law to leave her and go to their homes, which daughter-in-law decided to stay?
",Ruth,Rebbecca,Judy,Beth,Ruth
606,"Which of the following did Jesus call first to be his disciple?
",Simon,Philip,James,Simon,Judas
607,"What kind of person may you call Judas?
",A friend who betrayed you,Someone who follows you,A thief,A friend who betrayed you,A person who committed suicide
608,"Which of the following events can be referred to as an Armageddon?
",The last and completely destructive battle,A battle between former allies,A death of a charismatic leader,The last gathering of a group of friends,The last and completely destructive battle
609,"Which use of Goliath is correct?
",The local grocery successfully competed against the nearby Goliath supermaket,Switzerland is the Goliath of international politics.,The FIFA 2006 World Cup final between France and Italy was like David against Goliath.,The local grocery successfully competed against the nearby Goliath supermaket,Fiesta is a real Goliath among Fords models.
610,"How would you describe a Samaritan?
",A person who helps people in need,A person who helps people in need,An enemy,A person who migrates to a foreign country,An egoist
611,"Who is the salt of the earth?
","Decent, reliable people",People who spread gossips,"Decent, reliable people",People who do not keep their word,All Christians
